#,,distance-to-solar-noon,temperature,wind-direction,wind-speed,sky-cover,visibility,humidity,average-wind-speed-(period),average-pressure-(period),power-generated
667,666,0.397306,56,19,1.609438,1,1.098612,2,1.791759,30.04,377
668,667,0.094276,56,19,1.609438,1,1.386294,5.291503,2.079442,30.06,15727
669,668,0.208754,56,19,1.609438,1,0.693147,6.63325,1.386294,30.01,21630
670,669,0.511785,56,19,1.609438,1,0.693147,7.071068,1.386294,29.99,5778
671,670,0.814815,56,19,1.609438,1,0.693147,4.690416,1.386294,30.01,0
672,671,1.117845,56,19,1.609438,0,0.693147,4.795832,1.386294,30.05,0
673,672,1.006745,54,19,1.308333,1,0.693147,3.741657,1.386294,30.05,0
674,673,0.703204,54,19,1.308333,0,1.098612,3.316625,1.791759,30.05,0
675,674,0.399663,54,19,1.308333,2,1.94591,3.316625,1.386294,30.06,0
676,675,0.096121,54,19,1.308333,3,2.197225,4.123106,1.94591,30.07,11153
677,676,0.20742,54,19,1.308333,3,2.079442,4.472136,1.791759,30.03,13434
678,677,0.510961,54,19,1.308333,3,1.609438,6.164414,1.386294,30,1789
679,678,0.814503,54,19,1.308333,3,0.693147,5.744563,1.386294,30.01,0
680,679,1.118044,54,19,1.308333,3,0.693147,4.690416,1.386294,30,0
681,680,1.008446,55,34,1.458615,3,1.098612,4.795832,1.386294,30.01,0
682,681,0.704392,55,34,1.458615,3,0.693147,4.123106,1.386294,30.03,0
683,682,0.400338,55,34,1.458615,3,1.386294,4.123106,1.386294,30.04,80
684,683,0.096284,55,34,1.458615,4,1.609438,3.605551,2.079442,30.05,618
