#,,distance-to-solar-noon,temperature,wind-direction,wind-speed,sky-cover,visibility,humidity,average-wind-speed-(period),average-pressure-(period),power-generated
685,684,0.20777,55,34,1.458615,4,1.609438,5,1.386294,30.01,2606
686,685,0.511824,55,34,1.458615,4,1.791759,4.358899,1.94591,29.98,915
687,686,0.815878,55,34,1.458615,3,0.693147,5,1.386294,29.96,0
688,687,1.119932,55,34,1.458615,3,0.693147,4.123106,2.079442,29.96,0
689,688,1.011864,55,34,1.131402,3,0.693147,4.472136,1.386294,29.94,0
690,689,0.70678,55,34,1.131402,3,0.693147,4.123106,1.94591,29.89,0
691,690,0.401695,55,34,1.131402,4,1.098612,4.123106,1.386294,29.85,69
692,691,0.09661,55,34,1.131402,4,1.098612,4.690416,1.386294,29.88,1340
693,692,0.208475,55,34,1.131402,4,2.079442,3.162278,1.386294,29.88,2726
694,693,0.513559,55,34,1.131402,4,1.791759,3.741657,1.386294,29.89,68
695,694,0.818644,55,34,1.131402,3,1.098612,3.162278,1.386294,29.92,0
696,695,1.123729,55,34,1.131402,4,1.386294,3.162278,1.386294,29.95,0
697,696,1.01528,56,29,2.104134,3,1.098612,2.645751,1.386294,29.98,0
698,697,0.709677,56,29,2.104134,4,1.098612,2.645751,2.302585,30,0
699,698,0.404075,56,29,2.104134,4,1.386294,3.162278,1.94591,30.05,0
700,699,0.098472,56,29,2.104134,2,1.386294,3.605551,2.079442,30.1,13893
701,700,0.207131,56,29,2.104134,4,1.098612,4.472136,2.484907,30.09,11407
702,701,0.512733,56,29,2.104134,3,0.693147,4.690416,2.484907,30.11,633
703,702,0.818336,56,29,2.104134,4,0.693147,4.472136,2.397895,30.15,0
704,703,1.123939,56,29,2.104134,4,0.693147,4.123106,2.197225,30.2,0
705,704,1.017007,53,24,1.589235,4,0.693147,3.741657,1.791759,30.22,0
706,705,0.710884,53,24,1.589235,4,0.693147,4.123106,1.386294,30.22,0
707,706,0.404762,53,24,1.589235,4,0.693147,3.741657,1.386294,30.25,11
708,707,0.098639,53,24,1.589235,4,0.693147,4.123106,1.386294,30.3,1353
709,708,0.207483,53,24,1.589235,4,0.693147,4.123106,1.791759,30.24,10939
710,709,0.513605,53,24,1.589235,4,1.609438,4.690416,1.386294,30.2,4273
711,710,0.819728,53,24,1.589235,2,0.693147,3.162278,2.197225,30.22,0
712,711,1.12585,53,24,1.589235,2,1.386294,2,1.386294,30.22,0
713,712,1.020478,57,19,1.335001,2,1.386294,2.645751,1.386294,30.19,0
714,713,0.713311,57,19,1.335001,4,2.079442,2,1.791759,30.17,0
715,715,0.098976,57,19,1.335001,3,1.609438,4.472136,2.197225,30.19,7229
